,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
10,70,134,4,191,293,3994,342,14,7,63,39,85,1,965,8,39,7785,1,635,7786,4,1,38,7,519,171,1,2381,868,3699,604,4941,979,18,1238,16,356,6,4449,135,6,531,11,3,238,304,225,355,4007,4942,1439,14,7,926,5,86,258,7787,362,559,4941,979,66,875,9,480,7788,242,453,2803,1771,225,355,8,7,51,1619,2,9,1,384,3435,648,64,133,1,4,1,268,109,5,540,2,212,765,1,9,1058,1847,8,1848,6,213,2975,116,77,1274,24,7789,233,9,5,4941,979,99,885,55,80,64,3,467,1180,2786,29,318,5558,8,72,12,3,1998,8,1,1334,7784,355,2,9,19,13,876,17,130,5,64,1398,2,4008,441,7790,16,886,2,1,225,118,2979,4941,979,12,2980,2641,4,3,2255,11,44,4450,329,4943,19,136,21,121,62,30,1472,6,1,225,4007,4942,1,979,66,3436,3,411,295,304,294,16,1,191,118,116,397,2,2804,597,11,4451,2643,30,7791,5,3700,233,2074,5,2256,19,136,19,1701,295,395,304,6,1763,909,2,2804,766,14,2,1275,573,208,14,7,3186,404,21,29,56,4009,122,2250,50,5,2257,64,1239,2,740,655,97,128,101,114,147,1181,1575,5,1473
11,25,326,796,328,3179,46,283,9,210,138,838,6460,4,2509,1,3440,6,261,308,9,22,51,10,3,1997,2,628,1999,87,24,574,9,178,11,3702,1,2076,4,1703,1,307,22,56,5561,4,532,5,1704,1,121,162,58,11,90,12,2,488,3,910,8,39,74,40,1772,146,95,123,553,46,283,9,210,138,838,1934,22,178,58,1,307,69,115,1576,34,13,245,99,2259,43,17,184,6461,1104,1576,7794,428,24,12,3,1474,565,11,59,3,206,5,514,1620,4,1182,4,1,32,7,38,2644,3189,3190,1999,527,93,3188,4,5559,1241,1,1577,1578,8,292,851,296,577,2260,8,1576,11,1,2000,7,907,6462,4,2261,146,1,9,2147,62,68,2246,2,116,77,7,163,492,1,4452,1519,5560,5562,68,666,3,1159,1850,887,16,3191,84,55,4013,6,1,3438,4452,742,836,565,69,1,947,5560,4014,3,1019,492,6463,1850,164,2,2806,164,2,2001,416,4,3,292,667,10,95,2002,806,7795,27,126,416,4,911,547,2,56,201,9,592,2,195,14,451,26,867,5,8,321,948,9,1515,2,25,435,290,3703,68,34,416,13,7,645,263,7796,16,3192,1078,9,74,40,87,119,3,2981,129,101,114,76
12,16,443,611,463,82,20,633,26,1,824,5,30,103,548,4946,10,8,888,793,10,2983,533,575,18,129,514,7797,377,2,2984,191,8,1,3704,41,103,548,12,371,1466,11,14,292,355,34,13,401,40,64,197,16,1,2645,834,1306,16,3,6464,372,8,121,590,28,4453,68,6,3,811,500,74,6465,63,834,43,8,60,13,254,21,152,575,943,8,1,295,55,1216,77,8,778,1400,4454,2,4454,42,193,12,1851,1160,145,13,550,13,48,2,6466,8,2,139,222,3704,378,20,463,2,3,500,6467,3993,203,1216,77,635,52,11,50,1400,6,86,258,52,724,1161,127,27,1,266,117,96,8,9,7,3194,6468,3705,10,7798,26,1,207,120,7799,2,905,8,9,371,314,1,884,120,248,575,942,3195,56,1,2383,778,1400,6,1303,96,603,53,39,103,1400,4454,2,4454,60,12,55,80,775,4,1,50,6,24,141,5,39,409,26,3,31,305,202,77,8,7,21,463,174,76,166,533,575,7800,397,912,7801,640,2,1242,186,44,3706,52,1401,5,6469,8,237,17,497,14,12,1,4947,4,5,3678,2,7802,8,72,27,75,2383,778,6,848,4,127,117,96,128,101,114,994,1102,147,143
13,63,765,2807,85,1580,365,5,902,7810,1440,6,4460,4,45,536,2511,6,1,207,534,6479,1,9,1105,116,77,1,386,1040,1212,1,32,7,1108,68,2,3713,77,3712,5,690,1,2153,7,1107,927,3447,68,55,80,238,84,233,154,5,1021,24,77,89,342,765,2807,27,646,29,380,8,74,679,87,53,65,27,21,561,2,7817,6,94,839,3709,1277,4,1,492,304,839,4461,5567,6480,765,12,66,1579,85,443,1440,222,19,7808,5,776,57,443,1775,668,91,13,2004,1,9,105,2,478,2,1477,1704,6,1,877,3,241,8,14,74,478,53,65,1184,57,52,175,3448,4,94,29,1,266,81,13,12,2154,17,744,6,4015,380,222,19,544,1707,1244,1276,668,5,1623,1775,668,8,119,1,275,4,44,1624,6,1,32,7,5,27,136,7818,2,679,26,1,45,581,249,31,305,344,2,20,501,612,13,2004,8,112,42,348,29,318,29,318,57,36,4,94,6,298,3204,1,950,4,213,10,1,1307,726,366,1,268,109,6,1932,14,7,646,55,5,55,78,1,31,274,42,20,1,57,536,565,8,65,42,25,5,72,314,40,20,494,940,58,4,213,1708,14,12,2155,7819,1478,13,15
14,10,1,2808,4465,4,8,4466,874,70,18,3,1474,1268,18,8,13,21,121,550,21,2,3451,1,825,778,2,1,54,36,1023,149,24,77,19,30,25,51,3452,322,77,156,1,2638,256,440,727,16,559,28,1131,127,562,6,655,4,1,506,493,142,38,168,3452,762,818,4467,3207,762,818,5570,187,1,1479,2512,778,5,4468,218,2,17,1023,149,1710,762,1776,62,6,2649,174,76,166,4469,7823,7824,397,768,1206,116,2513,4,8,376,12,675,91,8,7,1062,28,46,9,110,3451,2,1,54,36,1023,149,416,4,825,10,1,4465,206,2157,18,1,395,77,994,4,1,1234,1079,29,1479,2512,563,60,408,23,1,38,10,1,266,206,13,3453,3,54,36,1023,149,2,60,13,3452,2368,2078,6484,6485,173,13,12,29,1,149,16,174,76,166,4469,7823,7824,397,768,6485,12,1,214,28,6,468,2,1,1479,2512,2638,1272,669,3,188,8,2245,762,818,10,3679,5,185,2261,5,16,1063,1,4017,554,4,2809,111,214,22,326,6486,7825,4,524,40,43,1856,50,19,3,162,2,119,257,4406,245,1,951,4,4951,1080,1080,14,12,6484,1470,1237,4470,5571,1023,26,46,9,576,128,101,114,797,1133,147,143
15,2,6490,32,7,6488,10,287,1,241,33,3209,2,3454,86,1687,1109,4,1361,3716,851,1687,2989,5,911,7827,5,5573,3428,1081,2,474,5,7828,822,5,5,7829,11,86,7830,1,137,96,354,21,1130,10,287,6491,78,132,5,1521,11,1,1361,3716,525,2,358,95,456,725,5,95,141,1024,9,15,1,325,528,59,1,2388,192,5,1,32,7,7828,2811,1185,3,369,315,24,163,8,3717,32,7,6488,10,287,6491,11,115,2264,4,924,3716,1,369,2008,756,58,4,4474,3716,8,27,1626,11,32,7,123,365,5,1,456,91,30,27,7831,6,3718,2986,26,2,226,2390,1,1201,835,3210,4475,5,97,3716,8,369,110,21,1308,241,6492,34,4018,15,13,33,3455,10,1,3426,19,13,952,85,924,6493,1218,10,140,1711,5,709,1044,2,2258,2989,5574,4,1,756,1361,3716,8,1,137,96,7832,10,27,26,1521,251,4,1,278,7,4475,12,2990,6,4476,5,5575,16,1,6494,4,1,278,7,7833,1474,1368,6,1,67,178,4475,4,5575,6495,5,7834,4475,3719,26,5575,11,1518,2991,3993,356,6,207,52,2515,1581,84,4,1,1275,726,23,5576,164,2,5575,2159,399,4475,5573,5,4475,27,362,1,2391,7,244,5573
16,3,339,6,3460,6,138,8,1,246,5583,11,3212,3216,48,51,7849,23,3461,276,28,284,2,24,141,19,7850,6,7851,7852,93,4,196,562,1,86,1154,2818,6,3,8,21,56,429,869,6507,5,8,1,1270,378,193,37,7853,3461,457,52,3,5584,1586,19,37,1309,11,1219,826,3217,3723,7854,241,306,4,1369,6,247,4,365,665,15,94,835,246,2995,1442,11,2266,361,6,3,2651,425,4955,49,2,169,452,8,3,2161,821,3,1025,1110,6,1,4482,196,1369,27,23,857,1045,3,153,2996,5,153,605,15,7854,1,2162,4,24,1154,60,12,251,55,5585,12,21,129,2,212,119,2,1,824,4,3,429,7,605,6,869,205,361,27,178,2,1941,1,300,2992,2997,1099,2,743,2,1718,1,1310,4,81,1,429,12,10,1,447,1,86,2992,190,8,1099,99,1304,3204,1,429,7,81,10,1,447,360,5586,624,529,11,1,3198,149,60,12,1858,3,118,1630,1,1154,2652,6,3,1842,4,246,5583,150,11,361,187,1247,90,2,914,3,52,568,52,3,7855,1568,52,97,1111,6508,14,66,4938,8,869,1439,3212,3216,99,20,796,10,3,1631,6509,63,519,5,8,361,99,21,20,7856,52,7857,16,2081
17,1,160,17,124,110,21,530,795,2,3,657,11,317,3,36,144,981,10,6510,1860,2812,2392,16,332,869,12,488,11,437,411,575,178,428,8,108,330,229,584,18,1164,6,3,2165,69,231,4,161,7860,1851,4956,37,697,2,36,108,281,878,729,1241,8,73,22,3219,73,33,177,160,222,19,1,49,1633,10,182,904,14,33,25,2,1443,1,3725,4,825,28,215,2,1130,3220,171,464,2076,1,2082,4,218,5,819,28,2804,161,332,869,29,1861,2653,25,21,51,1,1248,234,4023,5,765,410,18,1632,16,29,318,912,1244,6511,14,33,1187,3218,758,327,394,4,56,2165,842,1,664,11,1,3221,5,3726,4,1,4483,19,136,19,1,218,5,2998,1,224,3218,4,218,33,20,171,1,49,5,111,842,19,3,1106,4,2163,33,20,1,1719,4,276,4,94,5,422,1164,416,4,1027,69,1,142,55,80,768,356,6,1861,1000,25,51,954,58,6,37,6512,4,2165,597,187,127,1439,161,332,1241,330,2083,6513,3,45,5,57,4,1,49,7,4484,1631,160,22,51,1632,10,5587,2812,11,94,1634,161,332,869,10,182,1,514,36,579,3,1249,2143,218,5,44,819,2,195,7861,1862,29,4024,332
18,54,36,2004,94,2,4485,341,302,4025,23,31,71,1,54,36,2004,1,32,7,94,2,612,4485,3,910,389,19,8,82,1135,1112,341,302,6,1218,222,19,2820,5,2518,6,325,2,1157,1,993,4,1,699,501,31,448,3,54,36,351,15,10,182,94,42,344,4485,1,910,60,1780,1,47,2,650,11,1,913,31,302,6,1,49,186,1,341,1249,14,354,612,235,6,325,2,358,1,118,730,1,351,558,1,351,15,1,2400,858,545,1,141,7,31,399,74,530,976,4957,471,178,11,6,1,181,395,692,448,4,1,32,7,31,713,5,254,21,247,2,1466,11,38,46,9,2,714,1,49,85,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9,2,458,339,10,32,7,31,448,10,182,54,2654,71,32,7,38,46,9,42,1768,3,339,10,1,274,2,448,1,450,7,31,713,10,182,1,54,36,15,10,296,19,41,236,16,94,2,4026,1781,31,302,1,38,709,2,1327,182,2,1,159,50,10,122,31,504,42,715,2,3,7862,618,11,90,5,44,778,15,6514,7863,1,969,551,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,47,42,6516,61,6,5,145,1,47,908,144,33,1153,216,2,2269,1,231,41,388,6516,6,7864,7,570,5,193,205,41,27,29,8,402,449,15,10,1720,497,1,450,41,74,40,398,61,26,126,3224,15,45,102,2401,892,28,18,66,2822,10,1720,53,72,18,37,908,183,5,56,695,276,4,1,144,15,30,476,13,18,3,429,2270,8,33,20,3,660,164,2,1,1720,915,3411,84,4,180,65,139,1,231,100,98,27,1161,5,476,8,112,5,1,217,27,538,1,555,259,915,3,206,315,48,260,3000,980,1,213,368,563,915,15,260,177,362,344,240,2823,29,903,84,1519,98,7,4027,84,38,46,9,3001,1251,98,7,2084,6,1,45,1723,102,2085,1311,34,9,22,156,1588,98,2519,98,22,418,231,4,161,431,1,38,190,13,254,21,215,98,7,108,2084,2,348,9,12,4487,2,769,2,3,754,6,3225,461,10,204,3,1016,64,651,1,83,671,26,180,64,394,980,4,1,180,109,1,3727,5,6517,1943,9,37,1635,2,3728,177,11,98,65,720,3,2520,1340,1724,275,6,1,47,5,27,3002,2,2650,44,2824,2,1583,9,7,536,955,10,285,547,5,97,1626
21,33,88,67,10,37,56,58,2524,19,1046,2,1213,1436,3,1365,4,2656,173,5,72,2086,256,24,85,658,5,781,2,780,17,3226,1864,6522,8,3,860,7871,354,20,1136,11,1,7872,5,14,894,58,13,18,113,1,4958,7873,48,371,2011,68,4962,26,5,14,11,484,7869,904,2086,7,253,2,358,1,499,26,17,18,3,2403,7874,4,4958,226,532,1,1638,18,1486,19,3,1590,2089,1865,11,142,87,29,1,81,4,79,895,6,3730,2086,7,184,997,741,40,1352,4,70,13,48,316,5,14,18,121,150,224,63,4959,269,2086,7,7875,550,6,5592,8,17,99,20,6523,5,107,1,605,2,3,3699,7876,3699,221,3731,6524,18,67,2169,23,1,1371,8,13,5593,2,132,2,650,2086,5,3452,61,135,2,4030,6,325,2,458,17,753,4,122,13,48,2521,1,278,26,484,473,265,8,48,51,3,153,496,1014,11,1210,6,3006,1,1761,4,278,755,5594,2086,16,37,4963,6,1,1759,3227,6,86,258,60,3732,2,1,214,28,6525,484,473,6,1625,2086,18,66,4490,16,1,3699,217,6526,60,22,928,51,2,2827,7877,1,5,6518,2086,18,6527,142,300,248,1,605,4,6518,2086,7,868,7878,173
